"Date","Austria","Belgium","Cyprus","Estonia","Finland","France","Germany","Greece","Ireland","Italy","Latvia","Lithuania","Malta","Netherlands","Portugal","Slovakia"
2021-01-31,-0.3952,-0.3524,0.2802,-0.182,-0.3626,-0.3001,-0.5384,0.6848,-0.2146,0.6334,-0.29,-0.0082,0.2268,-0.4698,0.0306,-0.4122
2021-02-28,-0.0492,0.028,0.4074,-0.174,-0.092,-0.0363,-0.2906,1.0134,0.084,0.7034,-0.25,0.1056,0.5318,-0.2196,0.2912,-0.0316
2021-03-31,-0.0944,-0.0154,0.3612,-0.078,-0.1348,-0.0794,-0.3246,0.8742,0.0378,0.6372,-0.2,0.116,0.414,-0.2664,0.2006,-0.1244
2021-04-30,0.0082,0.0982,0.4642,0.058,-0.0296,0.0677,-0.226,0.948,0.1512,0.8378,-0.21,0.0968,0.4858,-0.148,0.448,-0.051
2021-05-31,0.0538,0.151,0.4544,0.104,0.0166,0.1774,-0.1812,0.8652,0.2188,0.9309,-0.21,0.272,0.5318,-0.034,0.4756,0.0054
2021-06-30,0.0308,0.135,0.3946,0.154,-0.0056,0.1616,-0.1808,0.8364,0.2062,0.8758,0.14,0.1666,0.5886,-0.0582,0.434,0.016
2021-07-31,-0.202,-0.1074,0.1704,0.122,-0.2602,-0.09,-0.4422,0.6196,-0.0292,0.6259,0.09,0.1058,0.4778,-0.3096,0.1926,-0.2426
2021-08-31,-0.1794,-0.08,0.1768,0.076,-0.2442,-0.06,-0.4144,0.69,8e-04,0.6601,0.09,0.0746,0.5458,-0.288,0.1954,-0.2208
2021-09-30,0.0152,0.1062,0.32,0.022,-0.0452,0.1356,-0.2112,0.8332,0.1852,0.8257,0.02,0.1824,0.673,-0.089,0.3402,-0.043
2021-10-31,0.1078,0.1884,0.4442,0.06,0.0566,0.2188,-0.1304,1.0934,0.2642,0.9779,0.17,0.3184,0.7164,0.0022,0.4268,0.06
2021-11-30,-0.0268,0.0594,0.6676,0.184,-0.0282,0.0696,-0.2938,1.316,0.194,1.0152,0.26,0.5528,0.6462,-0.1502,0.3866,-0.1242
2021-12-31,0.0669,0.1542,0.6766,0.182,0.0608,0.1676,-0.2036,1.3314,0.2354,1.1502,0.3,0.5244,0.6976,-0.0546,0.4494,0.0204
2022-01-31,0.1992,0.2874,0.9046,0.15,0.2078,0.363,-0.0484,1.7028,0.4636,1.3698,0.3,0.6546,0.845,0.0802,0.6154,0.2166
2022-02-28,0.5694,0.7102,1.6336,0.406,0.5712,0.6902,0.2044,2.5924,0.8296,1.8512,0.79,1,1.2176,0.445,1.1046,0.6124
2022-03-31,0.9636,1.0614,1.8988,0.872,0.936,1.0274,0.5996,2.7856,1.1528,2.0984,1.2,1.48,1.4938,0.8428,1.3828,1.3516
2022-04-30,1.3452,1.4074,2.299,1.258,1.2588,1.3578,0.858,3.0974,1.5134,2.6358,1.2,1.87,1.781,1.1374,1.9206,1.6828
2022-05-31,1.5786,1.6122,2.5928,1.574,1.4722,1.5366,1.0176,3.5464,1.619,2.9712,1.2,2.07,2.0236,1.3072,2.1522,1.9628
2022-06-30,2.057,2.1382,3.3874,2.024,1.9444,2.0498,1.4982,3.7632,2.1312,3.5504,2.55,3,2.7078,1.8326,2.583,2.506
2022-07-31,1.4514,1.519,3.0222,2.516,1.3254,1.4866,0.9044,3.0098,1.5632,3.3098,2.47,2.9,2.4752,1.2248,2.0078,1.918
2022-08-31,2.081,2.0952,3.1976,2.604,1.9042,2.0694,1.4556,4.0042,2.1084,3.7488,2.29,2.9702,2.9276,1.7878,2.5554,2.5216
2022-09-30,2.8122,2.8082,4.0264,2.49,2.8008,2.7634,2.1632,4.8448,2.7778,4.602,2.96,3.7058,3.6336,2.4724,3.2526,3.342
2022-10-31,2.8382,2.7312,4.1414,3.158,2.8052,2.6618,2.1456,4.64,2.6084,4.2846,2.96,4.7352,3.5322,2.43,3.1482,3.5964
2022-11-30,2.5254,2.46,4.0358,4.006,2.5164,2.4622,1.933,4.161,2.3786,3.8274,3.74,3.775,2.646,2.2245,2.873,3.2754
2022-12-31,3.1196,3.1042,4.2012,3.692,3.0686,3.0234,2.4882,4.5728,3.0234,4.5954,3.5,4.65,3.274,2.8266,3.5088,3.628
2023-01-31,2.8262,2.895,4.0266,3.526,2.785,2.703,2.2408,4.265,2.6986,4.2146,3.5,4.65,2.8994,2.5616,3.1512,3.1714
2023-02-28,3.1966,3.2158,4.2898,3.798,3.096,3.0258,2.5486,4.4156,3.0368,4.4318,3.68,4.65,3.5564,2.8574,3.4416,3.537
2023-03-31,2.9508,2.973,4.0014,3.856,2.875,2.8128,2.2974,4.236,2.7416,4.1352,3.91,3.9572,3.4716,2.6542,3.1756,3.6468
2023-04-30,3.0706,3.09,4.1542,3.946,2.9964,2.9784,2.406,4.2464,2.8392,4.2854,3.91,3.9748,3.6074,2.7736,3.2544,3.7024
2023-05-31,3.0962,3.1164,4.014,3.9,3.013,2.9962,2.4182,3.8646,2.8692,4.2616,3.83,4.46,3.6948,2.7942,3.1628,3.7014
2023-06-30,3.0052,3.0182,3.7742,3.94,2.9278,2.8888,2.3568,3.6296,2.777,4.0166,3.79,4.358,3.6576,2.7016,3.0774,3.5848
2023-07-31,3.0902,3.1166,3.711,3.97,3.0392,3.0042,2.4426,3.7688,2.8796,4.093,3.79,4.3172,3.704,2.801,3.192,3.6858
2023-08-31,3.1212,3.1594,3.893,4.102,3.0894,3.0466,2.528,3.8602,2.9278,4.1854,3.85,4.1542,3.7328,2.8612,3.2454,3.7976
2023-09-30,3.4558,3.494,4.1932,4.17,3.4182,3.405,2.8454,4.3538,3.2644,4.77,3.88,4.4006,4.0294,3.1876,3.6102,4.1016
2023-10-31,3.4778,3.5058,4.1722,4.218,3.4584,3.464,2.8418,4.1848,3.2824,4.8088,3.88,4.4176,4.1054,3.1922,3.5486,4.1064
2023-11-30,3.0864,3.1238,3.7286,4.006,3.0752,3.0792,2.5136,3.7474,2.906,4.274,3.88,4.052,3.7006,2.8524,3.1858,3.7554
2023-12-31,2.5126,2.6008,3.0986,3.578,2.5108,2.4768,1.9584,3.035,2.3266,3.5838,3.49,3.423,3.1152,2.264,2.6834,3.128
2024-01-31,2.756,2.845,3.28,3.23,2.7444,2.7418,2.2506,3.2836,2.6826,3.7854,3.38,3.7302,3.3732,2.5288,2.9578,3.418
2024-02-29,2.9156,2.9898,3.357,3.346,2.876,2.8966,2.4224,3.3918,2.8456,3.8688,3.41,3.7846,3.5592,2.6998,3.0654,3.629
2024-03-31,2.8346,2.899,3.1892,3.49,2.8092,2.8142,2.3256,3.2854,2.7598,3.6564,3.4,3.6304,3.395,2.5848,3.0056,3.432
2024-04-30,3.0648,3.125,3.4726,3.52,3.03,3.0777,2.5788,3.5044,2.9826,3.9094,3.47,3.6682,3.5654,2.8482,3.2168,3.6278
2024-05-31,3.117,3.1704,3.4182,3.654,3.0878,3.1178,2.6244,3.6258,3.0226,3.9372,3.43,3.7794,3.605,2.9198,3.2352,3.6076
2024-06-30,3.0152,3.0982,3.3568,3.722,3.004,3.2039,2.4442,3.679,2.9222,3.9912,3.43,3.6724,3.536,2.7872,3.1876,3.5334
2024-07-31,2.8744,2.9546,3.157,3.776,2.8338,3.0724,2.364,3.4146,2.7848,3.7208,3.39,3.5772,3.4032,2.652,3.0042,3.4406
2024-08-31,2.7888,2.8614,3.1418,3.752,2.745,2.9918,2.2708,3.3216,2.6834,3.6516,3.18,3.4366,3.3462,2.5578,2.8756,3.3302
2024-09-30,2.6658,2.7862,3.0182,3.536,2.6222,2.9434,2.1538,3.1346,2.5214,3.4848,3.18,3.4124,3.1616,2.4472,2.7302,3.2292
2024-10-31,2.818,2.928,3.1102,3.434,2.768,3.0768,2.3354,3.2376,2.6832,3.5732,3.1,3.3984,3.2308,2.6046,2.7596,3.2516
2024-11-30,2.6062,2.7788,2.9642,3.43,2.591,2.9816,2.1568,3.0314,2.49,3.3926,3.09,3.353,3.101,2.3996,2.6398,3.0916
2024-12-31,2.7694,2.9668,3.033,3.494,2.7546,3.175,2.3542,3.2326,2.6558,3.5174,3.09,3.228,3.2126,2.5856,2.8414,3.2182
2025-01-31,2.898,3.1368,3.0568,3.444,2.869,3.269,2.5232,3.4082,2.8064,3.6208,3.21,3.2438,3.317,2.7284,2.9542,3.2592
2025-02-28,2.8564,3.0164,2.9266,3.45,2.7452,3.1704,2.4324,3.3146,2.7328,3.5076,3.21,3.1932,3.2598,2.6284,2.9618,3.342
2025-03-31,3.1462,3.314,3.2238,3.302,3.0286,3.4634,2.764,3.622,3.0648,3.8762,3.21,3.4952,3.43,2.986,3.2824,3.6094
2025-04-30,2.9174,3.0608,2.9896,3.49,2.7774,3.1938,2.4718,3.3522,2.8364,3.5904,3.36,3.2058,3.2048,2.7138,3.0206,3.4124
2025-05-31,2.9254,3.0612,3.0612,3.392,2.9928,3.2034,2.533,3.2964,2.836,3.5278,3.3,3.202,3.235,2.7494,3.0304,3.4564
2025-06-30,2.968,3.1302,3.0486,3.296,3.0248,3.2612,2.5712,3.312,2.9038,3.4972,3.3,3.2014,3.2176,2.7886,3.0428,3.4184
2025-07-31,3.028,3.2222,3.0422,3.206,3.0942,3.3578,2.6984,3.4038,2.9394,3.547,3.17,3.3466,3.4008,2.8706,3.1278,3.4848
2025-08-31,3.0524,3.295,3.0672,3.228,3.1192,3.5015,2.7188,3.435,2.9839,3.5978,3.17,3.579,3.4002,2.9035,3.168,3.5736
2025-09-30,3.0425,3.2934,3.0834,3.23,3.1178,3.5611,2.7366,3.446,2.992,3.593,3.18,3.6658,3.3972,2.8988,3.1572,3.5214
2025-10-31,2.9258,3.1704,2.9726,3.264,3.0038,3.4156,2.6262,3.2858,2.8745,3.3915,3.29,3.5312,3.2446,2.7838,2.9988,3.3868
2025-11-30,2.9669,3.1926,3.0072,3.252,3.0304,3.4152,2.6825,3.3072,2.9003,3.4086,3.29,3.5162,3.4,2.8255,3.0172,3.3874
2025-12-31,3.1113,3.3532,3.1502,3.3,3.1778,3.5672,2.8621,3.479,3.0424,3.5152,3.29,3.6772,3.552,2.978,3.1592,3.5282
2026-01-31,3.0451,3.2551,3.048,3.3,3.1146,3.4296,2.8539,3.3522,2.9703,3.4674,3.29,3.6086,3.7112,2.9244,3.2122,3.405
2026-02-28,2.9777,3.078,3.1316,3.3,2.9486,3.2552,2.6966,3.3204,2.966,3.3098,3.29,3.4006,3.5426,2.7654,3.0478,3.1594
2026-03-31,3.0766,3.2109,3.2218,3.3,3.058,3.4037,2.7891,3.4696,3.081,3.4956,3.29,3.4902,3.6314,2.8684,3.1864,3.2858
