Country,SP_Rating,Debt_GDP_avg,Inflation_Diff_avg,CurrentAccount_avg,Distance_RU_BY_km
Austria,19,82.12,0.76,1.95,1459.6
Belgium,18,106.2,0.48,-1.8,1772.9
Cyprus,11,76.68,-0.78,-7.12,2716.8
Estonia,17,20.76,4.12,-0.68,194.0
Finland,19,76.7,-0.4,-1.3,158.2
France,18,112.64,-0.82,-1.02,2029.2
Germany,20,65.12,0.36,6.22,618.1
Greece,10,165.5,-0.08,-6.6,2400.2
Ireland,17,43.28,-0.44,12.42,2196.2
Italy,12,140.16,-0.38,1.18,2223.3
Latvia,16,42.62,2.74,-3.28,209.9
Lithuania,16,39.14,3.0,-2.08,77.5
Malta,14,49.9,-0.84,1.25,2791.8
Netherlands,20,48.0,0.68,9.9,1636.1
Portugal,13,105.68,-0.6,1.05,3481.8
Slovakia,16,59.56,2.34,-4.05,663.9
